date	maxtemp	mintemp	avetemp	deptemp	HDD	CDD	prec
2022-02-18	69	41	55.0	-4.0	10	0	0.00
2022-02-19	68	42	55.0	-4.1	10	0	0.00
2022-02-20	63	50	56.5	-2.6	8	0	0.00
2022-02-21	62	55	58.5	-0.7	6	0	T
2022-02-22	60	52	56.0	-3.2	9	0	0.27
2022-02-23	56	48	52.0	-7.3	13	0	0.21
2022-02-24	60	40	50.0	-9.3	15	0	0.00
2022-02-25	60	38	49.0	-10.4	16	0	0.00
2022-02-26	67	40	53.5	-6.0	11	0	0.00
2022-02-27	69	43	56.0	-3.5	9	0	0.00
2022-02-28	75	44	59.5	-0.1	5	0	0.00
2022-03-01	76	45	60.5	0.8	4	0	0.00
2022-03-02	78	46	62.0	2.3	3	0	0.00
2022-03-03	61	52	56.5	-3.3	8	0	0.00
2022-03-04	63	53	58.0	-1.9	7	0	0.62
2022-03-05	59	53	56.0	-3.9	9	0	0.01
2022-03-06	61	49	55.0	-5.0	10	0	T
2022-03-07	64	44	54.0	-6.1	11	0	0.00
2022-03-08	67	42	54.5	-5.7	10	0	T
2022-03-09	63	44	53.5	-6.7	11	0	0.00
2022-03-10	64	53	58.5	-1.8	6	0	0.00
2022-03-11	69	46	57.5	-2.9	7	0	0.00
2022-03-12	72	44	58.0	-2.5	7	0	0.00
2022-03-13	63	49	56.0	-4.5	9	0	0.00
2022-03-14	66	52	59.0	-1.6	6	0	0.00
2022-03-15	66	51	58.5	-2.2	6	0	0.00
2022-03-16	67	56	61.5	0.7	3	0	0.00
2022-03-17	74	51	62.5	1.7	2	0	0.00
2022-03-18	74	50	62.0	1.1	3	0	0.00
2022-03-19	66	55	60.5	-0.5	4	0	0.06
2022-03-20	64	55	59.5	-1.5	5	0	0.23
2022-03-21	67	52	59.5	-1.6	5	0	0.00
2022-03-22	77	52	64.5	3.3	0	0	0.00
2022-03-23	85	55	70.0	8.7	0	5	0.00
2022-03-24	72	55	63.5	2.2	1	0	0.00
2022-03-25	67	56	61.5	0.1	3	0	0.00
2022-03-26	66	55	60.5	-1.0	4	0	0.00
2022-03-27	63	56	59.5	-2.0	5	0	0.00
2022-03-28	66	54	60.0	-1.6	5	0	0.48
2022-03-29	63	54	58.5	-3.2	6	0	0.21
2022-03-30	65	55	60.0	-1.7	5	0	0.00
2022-03-31	62	57	59.5	-2.3	5	0	0.00
2022-04-01	68	58	63.0	1.1	2	0	0.00
2022-04-02	62	58	60.0	-2.0	5	0	T
2022-04-03	63	57	60.0	-2.0	5	0	0.01
2022-04-04	66	56	61.0	-1.1	4	0	0.00
2022-04-05	68	53	60.5	-1.7	4	0	0.00
2022-04-06	72	55	63.5	1.3	1	0	0.00
2022-04-07	89	55	72.0	9.7	0	7	0.00
2022-04-08	95	58	76.5	14.1	0	12	0.00
2022-04-09	70	59	64.5	2.0	0	0	0.00
2022-04-10	67	60	63.5	1.0	1	0	0.00
2022-04-11	65	57	61.0	-1.6	4	0	T
2022-04-12	66	55	60.5	-2.2	4	0	0.00
2022-04-13	66	51	58.5	-4.3	6	0	0.00
2022-04-14	66	48	57.0	-5.8	8	0	0.00
2022-04-15	67	54	60.5	-2.4	4	0	0.00
2022-04-16	66	59	62.5	-0.5	2	0	0.00
2022-04-17	67	57	62.0	-1.1	3	0	T
2022-04-18	69	57	63.0	-0.1	2	0	0.00
2022-04-19	69	56	62.5	-0.7	2	0	0.00
2022-04-20	67	56	61.5	-1.8	3	0	0.00
2022-04-21	67	52	59.5	-3.9	5	0	T
2022-04-22	66	55	60.5	-2.9	4	0	0.01
2022-04-23	66	51	58.5	-5.0	6	0	0.00
2022-04-24	79	52	65.5	1.9	0	1	0.00
2022-04-25	82	53	67.5	3.8	0	3	0.00
2022-04-26	73	53	63.0	-0.7	2	0	0.00
