date	maxtemp	mintemp	avetemp	deptemp	HDD	CDD	prec
2/18/2022	69	41	55	-4	10	0	0
2/19/2022	68	42	55	-4.1	10	0	0
2/20/2022	63	50	56.5	-2.6	8	0	0
2/21/2022	62	55	58.5	-0.7	6	0	T
2/22/2022	60	52	56	-3.2	9	0	0.27
2/23/2022	56	48	52	-7.3	13	0	0.21
2/24/2022	60	40	50	-9.3	15	0	0
2/25/2022	60	38	49	-10.4	16	0	0
2/26/2022	67	40	53.5	-6	11	0	0
2/27/2022	69	43	56	-3.5	9	0	0
2/28/2022	75	44	59.5	-0.1	5	0	0
3/1/2022	76	45	60.5	0.8	4	0	0
3/2/2022	78	46	62	2.3	3	0	0
3/3/2022	61	52	56.5	-3.3	8	0	0
3/4/2022	63	53	58	-1.9	7	0	0.62
3/5/2022	59	53	56	-3.9	9	0	0.01
3/6/2022	61	49	55	-5	10	0	T
3/7/2022	64	44	54	-6.1	11	0	0
3/8/2022	67	42	54.5	-5.7	10	0	T
3/9/2022	63	44	53.5	-6.7	11	0	0
3/10/2022	64	53	58.5	-1.8	6	0	0
3/11/2022	69	46	57.5	-2.9	7	0	0
3/12/2022	72	44	58	-2.5	7	0	0
3/13/2022	63	49	56	-4.5	9	0	0
3/14/2022	66	52	59	-1.6	6	0	0
3/15/2022	66	51	58.5	-2.2	6	0	0
3/16/2022	67	56	61.5	0.7	3	0	0
3/17/2022	74	51	62.5	1.7	2	0	0
3/18/2022	74	50	62	1.1	3	0	0
3/19/2022	66	55	60.5	-0.5	4	0	0.06
3/20/2022	64	55	59.5	-1.5	5	0	0.23
3/21/2022	67	52	59.5	-1.6	5	0	0
3/22/2022	77	52	64.5	3.3	0	0	0
3/23/2022	85	55	70	8.7	0	5	0
3/24/2022	72	55	63.5	2.2	1	0	0
3/25/2022	67	56	61.5	0.1	3	0	0
3/26/2022	66	55	60.5	-1	4	0	0
3/27/2022	63	56	59.5	-2	5	0	0
3/28/2022	66	54	60	-1.6	5	0	0.48
3/29/2022	63	54	58.5	-3.2	6	0	0.21
3/30/2022	65	55	60	-1.7	5	0	0
3/31/2022	62	57	59.5	-2.3	5	0	0
4/1/2022	68	58	63	1.1	2	0	0
4/2/2022	62	58	60	-2	5	0	T
4/3/2022	63	57	60	-2	5	0	0.01
4/4/2022	66	56	61	-1.1	4	0	0
4/5/2022	68	53	60.5	-1.7	4	0	0
4/6/2022	72	55	63.5	1.3	1	0	0
4/7/2022	89	55	72	9.7	0	7	0
4/8/2022	95	58	76.5	14.1	0	12	0
4/9/2022	70	59	64.5	2	0	0	0
4/10/2022	67	60	63.5	1	1	0	0
4/11/2022	65	57	61	-1.6	4	0	T
4/12/2022	66	55	60.5	-2.2	4	0	0
4/13/2022	66	51	58.5	-4.3	6	0	0
4/14/2022	66	48	57	-5.8	8	0	0
4/15/2022	67	54	60.5	-2.4	4	0	0
4/16/2022	66	59	62.5	-0.5	2	0	0
4/17/2022	67	57	62	-1.1	3	0	T
4/18/2022	69	57	63	-0.1	2	0	0
4/19/2022	69	56	62.5	-0.7	2	0	0
4/20/2022	67	56	61.5	-1.8	3	0	0
4/21/2022	67	52	59.5	-3.9	5	0	T
4/22/2022	66	55	60.5	-2.9	4	0	0.01
4/23/2022	66	51	58.5	-5	6	0	0
4/24/2022	79	52	65.5	1.9	0	1	0
4/25/2022	82	53	67.5	3.8	0	3	0
4/26/2022	73	53	63	-0.7	2	0	0
4/27/2022	64	57	61	0	0	0	0
4/28/2022	64	57	60	0	0	0	0
4/29/2022	67	55	61	0	0	0	0
4/30/2022	68	54	61	0	0	0	0
5/1/2022	66	58	62	0	0	0	0
5/2/2022	65	58	60	0	0	0	0
5/3/2022	64	57	61	0	0	0	0
5/4/2022	68	54	60	0	0	0	0
5/5/2022	69	58	63	0	0	0	0
5/6/2022	67	58	61	0	0	0	0
5/7/2022	66	60	63	0	0	0	0
5/8/2022	65	58	61	0	0	0	0
5/9/2022	67	56	60	0	0	0	0
5/10/2022	66	52	60	0	0	0	0
5/11/2022	65	53	59	0	0	0	0
5/12/2022	75	49	61	0	0	0	0
5/13/2022	77	53	66	0	0	0	0
5/14/2022	81	55	68	0	0	0	0
5/15/2022	70	59	67	0	0	0	0
5/16/2022	67	58	61	0	0	0	0
5/17/2022	64	57	61	0	0	0	0
5/18/2022	65	59	61	0	0	0	0
5/19/2022	65	58	60	0	0	0	0
5/20/2022	65	58	61	0	0	0	0
5/21/2022	66	59	61	0	0	0	0
5/22/2022	68	58	62	0	0	0	0
5/23/2022	65	57	60	0	0	0	0
5/24/2022	64	58	60	0	0	0	0.02
5/25/2022	66	55	60	0	0	0	0
5/26/2022	66	60	62	0	0	0	0
5/27/2022	68	60	62	0	0	0	0
5/28/2022	65	60	62	0	0	0	0
5/29/2022	67	60	63	0	0	0	0
5/30/2022	68	60	63	0	0	0	0
5/31/2022	68	60	63	0	0	0	0
6/1/2022	67	61	63	0	0	0	0
6/2/2022	67	59	62	0	0	0	0
6/3/2022	67	59	61	0	0	0	0
6/4/2022	68	61	63	0	0	0	0
6/5/2022	70	62	64	0	0	0	0
6/6/2022	70	61	65	0	0	0	0
6/7/2022	67	61	63	0	0	0	0
6/8/2022	69	61	64	0	0	0	0
6/9/2022	69	61	64	0	0	0	0
6/10/2022	71	60	64	0	0	0	0
6/11/2022	71	62	66	0	0	0	0
6/12/2022	68	62	65	0	0	0	0
6/13/2022	67	62	64	0	0	0	0
6/14/2022	69	62	65	0	0	0	0
6/15/2022	68	61	64	0	0	0	0
6/16/2022	69	62	64	0	0	0	0
6/17/2022	68	62	65	0	0	0	0
6/18/2022	68	61	64	0	0	0	0
6/19/2022	72	56	64	0	0	0	0
6/20/2022	77	58	67	0	0	0	0
6/21/2022	73	65	68	0	0	0	0
6/22/2022	74	64	69	0	0	0	0
6/23/2022	76	66	70	0	0	0	0
6/24/2022	74	64	69	0	0	0	0
